justice,year,civlib,econs,score,tenure
77,46,48.700001,80.599998,.75,10
77,47,77.599998,87.900002,.75,11
77,48,66.699997,78.400002,.75,12
77,49,71.400002,80.800003,.75,13
77,50,74.199997,62.900002,.75,14
77,51,86.099998,73.300003,.75,15
77,52,87.199997,90.300003,.75,16
77,53,82.099998,81.099998,.75,17
77,54,78.400002,84.599998,.75,18
77,55,83.300003,87.199997,.75,19
77,56,94.199997,86.800003,.75,20
77,57,87.300003,85.300003,.75,21
77,58,88.099998,85.699997,.75,22
77,59,91.699997,89.699997,.75,23
77,60,83.599998,78.900002,.75,24
77,61,92.099998,76.300003,.75,25
77,62,88.199997,88.900002,.75,26
77,63,87.900002,82.5,.75,27
77,64,73.800003,79.300003,.75,28
77,65,71.699997,76.900002,.75,29
77,66,56.900002,86.699997,.75,30
77,67,60,73.5,.75,31
77,68,50,85.699997,.75,32
77,69,51.599998,66.699997,.75,33
77,70,55.599998,70.800003,.75,34
78,46,25.6,59.700001,.44999999,9
78,47,45.599998,51.5,.44999999,10
78,48,30.799999,51,.44999999,11
78,49,34.299999,34.599998,.44999999,12
78,50,40.599998,68.599998,.44999999,13
78,51,31.6,35.5,.44999999,14
78,52,35.900002,50,.44999999,15
78,53,40,45.900002,.44999999,16
78,54,27,63,.44999999,17
78,55,26.700001,66.699997,.44999999,18
78,56,50,55.599998,.44999999,19
79,46,33.299999,48.400002,.33000001,8
79,47,55.900002,24.200001,.33000001,9
79,48,48.700001,37.299999,.33000001,10
79,49,61.799999,18.200001,.33000001,11
79,50,56.299999,39.400002,.33000001,12
79,51,75.800003,39.299999,.33000001,13
79,52,79.5,37.5,.33000001,14
79,53,57.099998,46.200001,.33000001,15
79,54,70.300003,61.5,.33000001,16
79,55,67.900002,52.599998,.33000001,17
79,56,51.900002,33.299999,.33000001,18
79,57,54.099998,33.299999,.33000001,19
79,58,42.5,42.200001,.33000001,20
79,59,36.099998,30.799999,.33000001,21
79,60,34.799999,41.900002,.33000001,22
79,61,57.900002,33.299999,.33000001,23
80,46,52.599998,69.5,.46000001,8
80,47,79.300003,78.099998,.46000001,9
80,48,79.5,82,.46000001,10
80,49,77.800003,100,.46000001,11
80,50,71.900002,77.099998,.46000001,12
80,51,71.099998,61.299999,.46000001,13
80,52,72.5,64.5,.46000001,14
80,53,85.699997,77.800003,.46000001,15
80,54,78.400002,88.900002,.46000001,16
80,55,86.699997,87.199997,.46000001,17
80,56,94.300003,90.699997,.46000001,18
80,57,92.099998,91.199997,.46000001,19
80,58,93,93.800003,.46000001,20
80,59,91.699997,90.5,.46000001,21
80,60,95.5,81.599998,.46000001,22
80,61,92.300003,84.199997,.46000001,23
80,62,94.099998,77.800003,.46000001,24
80,63,98.300003,68.400002,.46000001,25
80,64,97.699997,72.400002,.46000001,26
80,65,93.5,85.699997,.46000001,27
80,66,91.199997,93.300003,.46000001,28
80,67,91.400002,66.699997,.46000001,29
80,68,87.099998,81,.46000001,30
80,69,83.099998,73.300003,.46000001,31
80,70,90.900002,75,.46000001,32
80,71,94.5,68.400002,.46000001,33
80,72,91.599998,71.400002,.46000001,34
80,73,93.300003,77.800003,.46000001,35
80,74,89.099998,80,.46000001,36
81,46,64.900002,77.800003,1,7
81,47,81.400002,83.300003,1,8
81,48,89.5,72.300003,1,9
83,46,30.6,45.900002,1,6
83,47,48.200001,25,1,7
83,48,30.799999,30.4,1,8
83,49,40,21.700001,1,9
83,50,35.5,53.099998,1,10
83,51,47.400002,46.700001,1,11
83,52,43.799999,41.900002,1,12
83,53,48.099998,47.099998,1,13
84,46,61.5,76.599998,1,4
84,47,84.199997,81.300003,1,5
84,48,79.5,82,1,6
85,46,25.6,51.599998,-.44,2
85,47,50.799999,36.400002,-.44,3
85,48,23.1,49,-.44,4
85,49,31.1,60,-.44,5
85,50,53.099998,47.099998,-.44,6
85,51,39.5,45.200001,-.44,7
85,52,42.5,41.900002,-.44,8
85,53,35.700001,51.299999,-.44,9
85,54,52.799999,61.5,-.44,10
85,55,43.299999,56.400002,-.44,11
85,56,30.200001,53.5,-.44,12
85,57,36.5,47.099998,-.44,13
85,58,100,,-.44,14
86,46,23.1,57.099998,.5,1
86,47,52.599998,51.5,.5,2
86,48,23.700001,43.099998,.5,3
86,49,32.400002,56,.5,4
86,50,43.799999,55.900002,.5,5
86,51,36.799999,48.400002,.5,6
86,52,35.900002,34.400002,.5,7
87,49,36,59.099998,0,1
87,50,50,57.599998,0,2
87,51,37.900002,46.200001,0,3
87,52,37.799999,46.400002,0,4
87,53,44.400002,60,0,5
87,54,62.200001,81.5,0,6
87,55,48.299999,81.099998,0,7
87,56,32.099998,80,0,8
87,57,30.6,66.699997,0,9
87,58,41.900002,67.400002,0,10
87,59,36.099998,69,0,11
87,60,31.299999,54.099998,0,12
87,61,43.599998,71.099998,0,13
87,62,47.099998,90.900002,0,14
87,63,55.200001,80,0,15
87,64,59.099998,69,0,16
87,65,58.700001,75,0,17
87,66,43.900002,81.5,0,18
88,49,41.200001,58.299999,.44,1
88,50,40.599998,52.900002,.44,2
88,51,26.700001,57.099998,.44,3
88,52,35,51.599998,.44,4
88,53,39.299999,53.799999,.44,5
88,54,36.099998,74.099998,.44,6
88,55,33.299999,71.800003,.44,7
88,56,100,,.44,8
89,53,38.5,66.699997,.5,1
89,54,61.099998,81.5,.5,2
89,55,75.900002,87.199997,.5,3
89,56,75,90.5,.5,4
89,57,83.300003,82.400002,.5,5
89,58,85.699997,87.5,.5,6
89,59,80,85.699997,.5,7
89,60,82.099998,65.800003,.5,8
89,61,92.099998,78.900002,.5,9
89,62,84.300003,85.699997,.5,10
89,63,87.900002,80,.5,11
89,64,78.599998,64.300003,.5,12
89,65,77.300003,78.599998,.5,13
89,66,78,75.900002,.5,14
89,67,73.900002,72.699997,.5,15
89,68,79.400002,85.699997,.5,16
90,55,50,65.599998,.75,1
90,56,50,39,.75,2
90,57,42.900002,32.400002,.75,3
90,58,44.200001,45.700001,.75,4
90,59,36.099998,38.099998,.75,5
90,60,35.400002,43.200001,.75,6
90,61,51.299999,36.799999,.75,7
90,62,35.299999,47.700001,.75,8
90,63,38.599998,33.299999,.75,9
90,64,54.5,39.299999,.75,10
90,65,37,37,.75,11
90,66,30.5,33.299999,.75,12
90,67,45.700001,45.5,.75,13
90,68,55.599998,52.599998,.75,14
90,69,46.900002,37.5,.75,15
90,70,42,50,.75,16
91,56,72.699997,74.400002,1,1
91,57,78.699997,79.400002,1,2
91,58,79.099998,75.5,1,3
91,59,77.800003,81,1,4
91,60,79.099998,63.200001,1,5
91,61,84.599998,68.400002,1,6
91,62,84.300003,82.199997,1,7
91,63,86,67.5,1,8
91,64,70.5,65.5,1,9
91,65,73.900002,82.099998,1,10
91,66,78,73.300003,1,11
91,67,77.099998,66.699997,1,12
91,68,79.400002,76.199997,1,13
91,69,69.199997,62.5,1,14
91,70,75.900002,68,1,15
91,71,81.800003,66.699997,1,16
91,72,86.300003,70,1,17
91,73,80.900002,82.5,1,18
91,74,80.800003,73.5,1,19
91,75,84.400002,63.599998,1,20
91,76,75.5,73.099998,1,21
91,77,79.300003,80.599998,1,22
91,78,79.300003,51.599998,1,23
91,79,82.400002,80.599998,1,24
91,80,72.099998,71.900002,1,25
91,81,76.5,67.599998,1,26
91,82,74.099998,60,1,27
91,83,74,57.599998,1,28
91,84,76.400002,63.900002,1,29
91,85,76.5,66.699997,1,30
91,86,92.699997,64.300003,1,31
91,87,82.900002,69.400002,1,32
91,88,85.699997,68.199997,1,33
91,89,84.300003,69.199997,1,34
92,57,47.599998,32.400002,0,1
92,58,46.5,38.799999,0,2
92,59,33.299999,28.6,0,3
92,60,38.799999,31.6,0,4
92,61,57.099998,28.6,0,5
93,58,41,48.799999,.5,1
93,59,41.700001,50,.5,2
93,60,53,48.599998,.5,3
93,61,66.699997,54.099998,.5,4
93,62,54.900002,51.099998,.5,5
93,63,68.400002,50,.5,6
93,64,55.799999,53.799999,.5,7
93,65,54.299999,50,.5,8
93,66,41.400002,48.299999,.5,9
93,67,63.799999,47.099998,.5,10
93,68,54,42.900002,.5,11
93,69,41.5,40,.5,12
93,70,47.5,48,.5,13
93,71,64.800003,45.900002,.5,14
93,72,57.400002,41.400002,.5,15
93,73,52.299999,36,.5,16
93,74,57.5,38.200001,.5,17
93,75,47.799999,40.599998,.5,18
93,76,40.400002,36,.5,19
93,77,54.700001,61.799999,.5,20
93,78,42.200001,48.400002,.5,21
93,79,45.900002,50,.5,22
93,80,36.400002,53.099998,.5,23
94,62,60.799999,76.199997,0,1
94,63,63.200001,61.5,0,2
94,64,60,67.900002,0,3
94,65,58.099998,85.199997,0,4
94,66,52.599998,66.699997,0,5
94,67,50,67.599998,0,6
94,68,61.299999,66.699997,0,7
94,69,49.200001,60,0,8
94,70,40,54.200001,0,9
94,71,49.5,48.700001,0,10
94,72,31.200001,57.099998,0,11
94,73,44.900002,72.400002,0,12
94,74,49.299999,64.699997,0,13
94,75,37.799999,38.5,0,14
94,76,35.099998,46.200001,0,15
94,77,53.299999,71.400002,0,16
94,78,49.400002,58.099998,0,17
94,79,41.700001,70.300003,0,18
94,80,44.099998,56.700001,0,19
94,81,45.700001,60.599998,0,20
94,82,36.599998,55,0,21
94,83,33.700001,45.200001,0,22
94,84,30.700001,51.400002,0,23
94,85,32.700001,44.400002,0,24
94,86,26.299999,42.900002,0,25
94,87,39.700001,48.599998,0,26
94,88,31.799999,45.5,0,27
94,89,27.1,57.700001,0,28
94,90,43.099998,50,0,29
94,91,41.099998,57.099998,0,30
94,92,40,61.900002,0,31
95,62,88.199997,75.599998,.5,1
95,63,96.599998,64.900002,.5,2
95,64,79.5,50,.5,3
96,65,83.699997,68.199997,1,1
96,66,82.5,76.900002,1,2
96,67,80,57.599998,1,3
96,68,77.099998,71.400002,1,4
97,67,77.599998,44.400002,1,1
97,68,84.5,68.400002,1,2
97,69,69.5,70,1,3
97,70,78.199997,50,1,4
97,71,85.699997,53.799999,1,5
97,72,85.699997,76.5,1,6
97,73,83.900002,75.900002,1,7
97,74,79.5,55.900002,1,8
97,75,83.900002,54.5,1,9
97,76,76.099998,61.5,1,10
97,77,79.699997,77.099998,1,11
97,78,78.300003,59.400002,1,12
97,79,86.099998,70.599998,1,13
97,80,76.5,72.699997,1,14
97,81,75.900002,70.599998,1,15
97,82,82.5,67.5,1,16
97,83,75,56.299999,1,17
97,84,74.699997,67.599998,1,18
97,85,81.400002,57.900002,1,19
97,86,90.5,67.900002,1,20
97,87,83.300003,75,1,21
97,88,86.900002,68.199997,1,22
97,89,88.599998,69.199997,1,23
97,90,86.199997,71.900002,1,24
98,69,30.799999,23.1,-.76999998,1
98,70,36.299999,44,-.76999998,2
98,71,34.099998,36.799999,-.76999998,3
98,72,29.5,57.099998,-.76999998,4
98,73,30.299999,37.900002,-.76999998,5
98,74,38.400002,41.200001,-.76999998,6
98,75,26.700001,42.400002,-.76999998,7
98,76,17,36,-.76999998,8
98,77,36,51.400002,-.76999998,9
98,78,27.700001,40.599998,-.76999998,10
98,79,35.299999,47.200001,-.76999998,11
98,80,31.299999,43.799999,-.76999998,12
98,81,23.799999,35.299999,-.76999998,13
98,82,28,50,-.76999998,14
98,83,30.9,39.400002,-.76999998,15
98,84,28.1,41.700001,-.76999998,16
98,85,23.5,42.099998,-.76999998,17
99,70,34.599998,47.799999,-.67000002,1
99,71,37.400002,47.400002,-.67000002,2
99,72,38.900002,63.599998,-.67000002,3
99,73,37.099998,46.400002,-.67000002,4
99,74,46.599998,64.699997,-.67000002,5
99,75,32.200001,43.799999,-.67000002,6
99,76,33.299999,50,-.67000002,7
99,77,51.599998,63.299999,-.67000002,8
99,78,45.799999,46.900002,-.67000002,9
99,79,51.200001,56.799999,-.67000002,10
99,80,44.799999,66.699997,-.67000002,11
99,81,59.299999,63.599998,-.67000002,12
99,82,61,55,-.67000002,13
99,83,43.599998,48.5,-.67000002,14
99,84,51.099998,52.799999,-.67000002,15
99,85,64.900002,47.400002,-.67000002,16
99,86,74.5,51.900002,-.67000002,17
99,87,65.400002,54.299999,-.67000002,18
99,88,68.699997,63.599998,-.67000002,19
99,89,58.599998,46.200001,-.67000002,20
99,90,77.599998,59.400002,-.67000002,21
99,91,73.199997,67.900002,-.67000002,22
99,92,78.199997,52.400002,-.67000002,23
99,93,72.300003,75,-.67000002,24
100,72,36.200001,56.700001,-.76999998,1
100,73,42,44,-.76999998,2
100,74,52.900002,45.200001,-.76999998,3
100,75,35.599998,48.400002,-.76999998,4
100,76,35.099998,45.799999,-.76999998,5
100,77,47.299999,53.099998,-.76999998,6
100,78,30.4,36,-.76999998,7
100,79,42.700001,51.400002,-.76999998,8
100,80,34.799999,48.299999,-.76999998,9
100,81,38.299999,45.5,-.76999998,10
100,82,26.799999,50,-.76999998,11
100,83,34.700001,28.1,-.76999998,12
100,84,40.700001,41.700001,-.76999998,13
100,85,31.6,47.400002,-.76999998,14
100,86,37.5,51.900002,-.76999998,15
101,71,25.5,33.299999,-.91000003,1
101,72,17.200001,45.700001,-.91000003,2
101,73,25,34.5,-.91000003,3
101,74,31.9,50,-.91000003,4
101,75,18.9,36.400002,-.91000003,5
101,76,9.8999996,38.099998,-.91000003,6
101,77,18.700001,40,-.91000003,7
101,78,21.700001,41.900002,-.91000003,8
101,79,10.7,38.900002,-.91000003,9
101,80,19.700001,41.900002,-.91000003,10
101,81,21,50,-.91000003,11
101,82,17.1,50,-.91000003,12
101,83,24,41.900002,-.91000003,13
101,84,22.5,41.200001,-.91000003,14
101,85,16.5,36.799999,-.91000003,15
101,86,15.6,46.400002,-.91000003,16
101,87,29.9,37.099998,-.91000003,17
101,88,22.6,36.400002,-.91000003,18
101,89,14.3,46.200001,-.91000003,19
101,90,20.700001,46.900002,-.91000003,20
101,91,32.099998,50,-.91000003,21
101,92,27.299999,52.400002,-.91000003,22
101,93,26.1,62.5,-.91000003,23
101,94,29.299999,37.5,-.91000003,24
102,75,54.799999,66.699997,-.5,1
102,76,58.099998,53.799999,-.5,2
102,77,52.700001,76.5,-.5,3
102,78,60.5,56.700001,-.5,4
102,79,60.700001,61.099998,-.5,5
102,80,53.700001,51.5,-.5,6
102,81,51.299999,54.5,-.5,7
102,82,57.900002,43.599998,-.5,8
102,83,57.299999,57.599998,-.5,9
102,84,56.299999,47.200001,-.5,10
102,85,55.700001,47.400002,-.5,11
102,86,66.699997,71.400002,-.5,12
102,87,62.799999,62.900002,-.5,13
102,88,61.900002,54.5,-.5,14
102,89,71.400002,46.200001,-.5,15
102,90,81,71.900002,-.5,16
102,91,80.400002,53.599998,-.5,17
102,92,76.400002,71.400002,-.5,18
102,93,66,66.699997,-.5,19
102,94,85.400002,62.5,-.5,20
103,81,34.599998,53.099998,-.17,1
103,82,26.799999,46.200001,-.17,2
103,83,31.299999,41.900002,-.17,3
103,84,32.599998,45.700001,-.17,4
103,85,34.700001,52.599998,-.17,5
103,86,30.5,46.400002,-.17,6
103,87,33.799999,33.299999,-.17,7
103,88,33.299999,28.6,-.17,8
103,89,21.4,40,-.17,9
103,90,39.700001,43.799999,-.17,10
103,91,57.099998,42.900002,-.17,11
103,92,43.599998,42.900002,-.17,12
103,93,36.200001,34.799999,-.17,13
103,94,48.799999,37.5,-.17,14
104,86,27.700001,63,-1,1
104,87,36.799999,40,-1,2
104,88,33.299999,40.900002,-1,3
104,89,24.299999,38.5,-1,4
104,90,29.299999,43.799999,-1,5
104,91,25,39.299999,-1,6
104,92,34.5,47.599998,-1,7
104,93,29.799999,37.5,-1,8
104,94,29.299999,43.799999,-1,9
105,87,45.700001,47.400002,-.27000001,1
105,88,28.200001,42.900002,-.27000001,2
105,89,24.6,46.200001,-.27000001,3
105,90,36.200001,46.900002,-.27000001,4
105,91,48.200001,42.900002,-.27000001,5
105,92,38.200001,47.599998,-.27000001,6
105,93,44.700001,45.799999,-.27000001,7
105,94,41.5,43.799999,-.27000001,8
106,90,32.099998,41.400002,-.34,1
106,91,50.900002,53.599998,-.34,2
106,92,58.200001,57.099998,-.34,3
106,93,59.599998,75,-.34,4
106,94,73.199997,43.799999,-.34,5
107,91,25.6,40,-.68000001,1
107,92,30.9,42.900002,-.68000001,2
107,93,23.4,25,-.68000001,3
107,94,26.799999,37.5,-.68000001,4
108,93,55.299999,66.699997,.36000001,1
108,94,68.300003,50,.36000001,2
109,94,63.400002,42.900002,-.050000001,1
